,text,Subjectivity,Polarity,Analysis
0,australia manufacture covid19 vaccine and give the citizens for free cost afp quotes prime minister covidvaccine,0.4,0.4,Positive
1,coronavirusvaccine coronavaccine covidvaccine australia doing very good httpstcokbt7l6pary,0.9099999999999999,0.9099999999999999,Positive
2,deaths due covid19 affected countries read more httpstcov8y3stu0uw rpiryani shitalbhandary… httpstco6jpmxx2kti,0.1875,0.1875,Positive
3,teamsubhashree subhashreesotwe iamrajchoco stay safe subhashreesotwe amp iamrajchoco  httpstcoayhoaqm0ls,0.5,0.5,Positive
4,michellegrattan conversationedu this what passes for leadership our country voucher for something that httpstcoouub1peyij,0.0,0.0,Neutral
5,the multisystem inflammatory syndromechildren misc covid19 atypical kawasaki disease covid19india the… httpstco98wj2cekez,0.0,0.0,Neutral
6,privilrodrigues yatish57 deepkaranahuja shristi522 amrita33392520 rashmisriniva14 akashrk88 sjanaqa… httpstcovpla11fwfr,0.0,0.0,Neutral
7,msnbc well let’s qualify that would anyone any party get vaccine rushed out and minimally tested coming from russia covidvaccine,-0.1,-0.1,Negative
8,most countries without the ability make vaccines locally will forced rely others like the china… httpstcoqucozlb4ru,0.06666666666666665,0.06666666666666665,Positive
9,dna zooms charts 1st week hear vaccines episode httpstcoodrayhi7zn pandemic covid19 covidvaccine,0.0,0.0,Neutral
10,biocon executive chairperson kiran mazumdar shaw contracts coronavirus informs twitter… httpstcoeojjwpsw11,0.0,0.0,Neutral
11,it’s over covid19millionares covid19 corona covidvaccine,0.0,0.0,Neutral
12,great news pfizers vaccine has entered phase trial read more httpstcopdqjlj3cvz pharmaceutical… httpstcoogz2impdwp,0.65,0.65,Positive
13,more dangerous yet come covidvaccine corona immunization coronaviruspandemic mutation d614gvirus d614… httpstcopxwpllt67w,-0.04999999999999999,-0.04999999999999999,Negative
14,the whole narrative the covidvaccine has gone deathly silent chinavirus covid19india,0.1,0.1,Positive
15,seruminstindia looking raise billion around crore for covid19 vaccine development det… httpstcoltxskbci90,0.0,0.0,Neutral
16,global vaccine tracker vaccines covidvaccine httpstcohzhwksufv7,0.0,0.0,Neutral
17,coronavirus updates american businessman with turkisharmenian roots leads covid19 vaccine development… httpstcoesbs5mc4kw,0.0,0.0,Neutral
18,attend webinar pediatrics neonatology and primarycare conference and get internationalcertificate also… httpstcoxge2zpccut,0.0,0.0,Neutral
19,russia made worlds first covid19 vaccine thank god its not ineffective the first thing adopted from… httpstcoxwll5qjlza,0.25,0.25,Positive
20,search chennai corona affected street area wise httpstcoeqipqlccop covidvaccine covid19chennai covid19… httpstcoatfmddfhrq,0.7,0.7,Positive
21,how will vaccinate the world vacine vaccinate coronavirus covidvaccine source bbcnews design mark hall httpstcolaginun9zb,0.0,0.0,Neutral
22,nearly deaths most with the second wave coronavirus covidvic19 and its appears that other waves are poss… httpstcoslh5ly8i9d,0.11875,0.11875,Positive
23,coronavirus india update active confirmed cases deaths see state wise list coronavirusindia… httpstcojng4bbcxkw,0.32222222222222224,0.32222222222222224,Positive
24,covid19 pune study shows seroprevalence antibodies samples covid19india covidvaccine… httpstcofprqafosxu,0.0,0.0,Neutral
25,amarujalanews featured today for being awarded the prestigious india book records pandemic wor… httpstcogxsgqfs0vt,0.0,0.0,Neutral
26,islamabad pakistan has begun phase iii the clinical trial covid19 vaccine candidate the country after… httpstcomhkncrs9wg,0.0,0.0,Neutral
27,covid19 vocabulary english incubation period click here httpstco1mmqsmjfsr via youtube covid19… httpstconffqiw9cw3,0.0,0.0,Neutral
28,lymphocyte type white blood cell which two types bcell and tcell cells have the ability pro… httpstcoglbzzdw9l2,0.0,0.0,Neutral
29,omg exposed covid19 vaccine ingredients will surprise you httpstcofamqj2rofm via youtube very informative… httpstcolqppocn46s,0.2,0.2,Positive
30,pro killing babies party this week please watch mmflint michelleobama springsteen barackobama… httpstcoahnottiafg,0.0,0.0,Neutral
31,covidvaccine candidates begin trials and them phase3 clinical trials httpstcoq8x0nsd50y,0.0,0.0,Neutral
32,covid19 vocabulary english infectious click here httpstcodfrn5vgr72 via youtube covid19 covid19… httpstcomff9xzzyhd,0.0,0.0,Neutral
33,phase trials begin next days what does mean for vaccine which already launched covidvaccine… httpstcoykvon5bqx0,-0.15625,-0.15625,Negative
34,single vaccination with chadox1 ncov19 induced humoral and cellular immune response rhesus macaques the… httpstcoqbf0k2ds05,-0.07142857142857142,-0.07142857142857142,Negative
35,leaks from russian lab covidvaccine httpstcoygv1ozemlf,0.0,0.0,Neutral
36,serum institute india starting phase trails oxfordastrazeneca vaccine this week centres short listed ac… httpstcomq9lrvznfa,0.0,0.0,Neutral
37,preparations covid19 related 31st special session unga initiated azerbaijan and nam going on… httpstcoz1vygjaobh,0.17857142857142858,0.17857142857142858,Positive
38,covid19 vocabulary english outbreak click here httpstcobou5xkmpxc via youtube covid19 covid19… httpstco9mk7ykmtyn,0.0,0.0,Neutral
39,you must tell yourself matter how hard isor how hard getsi going make itgettodoor1 voreday… httpstcoxryjsuirkz,-0.2916666666666667,-0.2916666666666667,Negative
40,india records decline daily coronavirus cases for 3rd day row corona russianvaccine covidvaccine,0.0,0.0,Neutral
41,covid19 human trails desi vaccine begin belagavi video link httpstcobc0dt7vajm tv9kannada… httpstcoraizo6bye4,0.0,0.0,Neutral
42,coronavirus vaccines update after russia china grants patent cansino vaccine phase iii testing underway… httpstcoosvnaww5lk,0.0,0.0,Neutral
43,russia produces first batch covid vax set roll out from august endhttpswwwmagztercomarticlenewspape… httpstcoh0aefujoo8,0.25,0.25,Positive
44,realdonaldtrump your gonna down the worst president all time all you did years dodge stormy da… httpstcoidbmkggxvq,-0.5777777777777778,-0.5777777777777778,Negative
45,serum institute india starting phase trails the oxfordastrazeneca vaccine this week centres short list… httpstcoe6uer9a4at,0.0,0.0,Neutral
46,just we’re clear how feel about covidvaccine httpstco0jsi8ggqkp,0.10000000000000002,0.10000000000000002,Positive
47,underground hip hop hiphop instrumentalmusic undergroundhiphop boombap hiphopbeats hiphopculture lofihiphop… httpstcoy3eeil4rdt,0.0,0.0,Neutral
48,covidvaccine scarebe careful russia and china has itself approved novel coronavirus vaccine similar fas… httpstcoirzrhbozzs,-0.05,-0.05,Negative
49,turkey russia discuss cooperation moscow’s coronavirus vaccine covid19 covidvaccine httpstcone994ccbgn httpstco2fynnaciie,0.0,0.0,Neutral
50,the national expert group vaccine administration for covid19 met representatives leading domestic manufactur… httpstcolousxxuqzh,0.0,0.0,Neutral
51,glad works covid19 covidph russianvaccine covidvaccine philhealthcorruption httpstcokphnwwej0i,0.5,0.5,Positive
52,usa doctors wake covidvaccine httpstcoqjvclsd6mc,0.0,0.0,Neutral
53,when see the corona recovery going better here covidinengland coronavirus england covidvaccine httpstcoyxed28kvpy,0.5,0.5,Positive
54,the national sports awards likely held virtually due covid virus pandemic covid19 covidvaccine… httpstcotmlvmzedlm,-0.0625,-0.0625,Negative
55,must have adequate representation these vaccine trials vaccinetrials covidvaccine httpstcoz7biocbpds,0.3333333333333333,0.3333333333333333,Positive
56,get ready for long wait even the australian government signs advanced purchase agreement secure pri… httpstco4iffrj8s4j,0.19,0.19,Positive
57,“journalism can never silent that its greatest virtue and its greatest fault must speak and speak immed… httpstcouvbkuq5f3g,0.6666666666666666,0.6666666666666666,Positive
58,now httpstco86d419hwqf peter chinhong and erin allday covid19 discuss how the bay area doing this week… httpstcos64up3se3u,0.0,0.0,Neutral
59,covidvaccine will mandatory those schools once avail meantime nyc tellsu2report2school like cattle httpstcorjcmygzbht,0.0,0.0,Neutral
60,the beautiful heat killing covid19 los angeles covidvaccine,0.85,0.85,Positive
61,pfizer looking sign people for covid vaccine study you get drug placebo then over the next ye… httpstcoalht77f81g,0.0,0.0,Neutral
62,immigration covid19 covidvaccine 2020census much stake during our next 2020election urge everyone… httpstcoodrsijiejr,0.1,0.1,Positive
63,you’ve been wondering how virus mutation might impact vaccine efficacy here the latest covidvaccine… httpstcotbwzw6kz2k,0.5,0.5,Positive
64,deanna4congress only thing the vaccine going give you the fly hairs growing your back brundlefly covidvaccine,0.26666666666666666,0.26666666666666666,Positive
65,brazils staterun oswaldo cruz foundation fiocruz will commence production december initial millio… httpstconhmuexzcox,0.0,0.0,Neutral
66,wuhan china china ended lockdowns 7april either china already made the vaxx before they unleashed covid19 on… httpstco4mvi49h3ku,0.0,0.0,Neutral
67,hcq works when given early andor preventative measure lancetgate cerb defendthenorth coronavirus… httpstcoqc74ripmnf,0.1,0.1,Positive
68,saw this thought was funny vaccines covidvaccine billgatesisnotadoctor httpstcojzwxw7rjqo,0.25,0.25,Positive
69,marainthu pogum subtitle has been added link httpstco8m05lviscp marainthupogum fightagainstcorona… httpstcox674nugjoi,0.0,0.0,Neutral
70,more coronavirus vaccine volunteers needed vaccine covid19 covidvaccine httpstcoc1xzuazc5s,0.5,0.5,Positive
71,there were deaths the from flu are currently and that with months dodgy httpstcosmbbkcgiag,0.0,0.0,Neutral
72,vaccine can protect from infectious disease cannot however provide immunity from the multiple person… httpstcodjpywzfp9o,0.0,0.0,Neutral
73,important regarding vaccines covidvaccine httpstcoajw3ry9v28,0.4,0.4,Positive
74,federal officials are working with california florida minnesota north dakota amp philadelphia develop plans to… httpstco4yttycd3eb,0.0,0.0,Neutral
75,china’s first patent granted for covid19 vaccine httpstcomnxk0y00ky coronavirusvaccine covidvaccine,0.25,0.25,Positive
76,you trust russia amp vladimirputin russianvaccine for coronavirus russiavaccine russiareport covid19… httpstcockdbe5heja,0.0,0.0,Neutral
77,just received tracking implant err mean the experimental covidvaccine now waiting for any immediate side httpstcoiow2xzl6t2,-0.10625,-0.10625,Negative
78,corona awareness caller tune ten times more infectious covid2019 india indianmemes kapilsharma meme… httpstcoo6kaxanxw5,0.25,0.25,Positive
79,president recep tayyip erdoğan and russian president vladimir putin have discussed cooperation moscow’s recently… httpstcoj8soswqc1i,0.0,0.0,Neutral
